GeneID,Gene.type,Base.mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,significance
MMP25,protein_coding,182807.3313,9.024988453,0.407187821,22.16419053,7.61E-109,2.06E-106,sig
ALAS2,protein_coding,44302.65907,8.99591533,1.021076619,8.810225564,1.25E-18,7.1E-18,sig
LMF1,protein_coding,136559.5495,8.947221351,0.814494095,10.98500456,4.51E-28,4.35E-27,sig
HBG1,protein_coding,23201.52697,8.927463988,1.200553247,7.436124981,1.04E-13,4.3E-13,sig
HAGHL,protein_coding,103445.6727,8.89024474,0.60479547,14.69958883,6.49E-49,1.65E-47,sig
FBXL16,protein_coding,210036.007,8.816982951,0.631313335,13.96609649,2.51E-44,5.17E-43,sig
TUBB1,protein_coding,8912.422541,8.812404037,0.471127987,18.70490458,4.52E-78,3.77E-76,sig
LINGO3,protein_coding,7714.656952,8.793123524,0.36026856,24.40713543,1.44E-131,7.86E-129,sig
METRN,protein_coding,197285.568,8.56594396,0.615261917,13.92243486,4.63E-44,9.41E-43,sig
GP9,protein_coding,1099.401204,8.46964189,0.946512073,8.948266091,3.61E-19,2.12E-18,sig
SCRT2,protein_coding,79.01907464,8.467087327,0.805647529,10.5096671,7.8E-26,6.67E-25,sig
KLF2,protein_coding,174242.4792,8.15639976,0.350305442,23.28367984,6.49E-120,2.46E-117,sig
RXFP2,protein_coding,15.00708885,8.125968762,0.755528046,10.75535026,5.59E-27,5.09E-26,sig
TSPAN16,protein_coding,104.901396,8.120959425,0.746835623,10.87382441,1.54E-27,1.44E-26,sig
PGLYRP1,protein_coding,1614.159502,8.08597492,0.633539353,12.76317703,2.63E-37,4E-36,sig
KIR2DS1,protein_coding,18.74098104,8.083095635,1.248565027,6.473908416,9.55E-11,3.23E-10,sig
NLRP12,protein_coding,6849.243621,7.993427117,0.533907575,14.97155592,1.13E-50,3.11E-49,sig
WDR24,protein_coding,193774.5185,7.980498951,0.555637608,14.36277682,8.86E-47,2.04E-45,sig
NLRP6,protein_coding,6132.195186,7.951287607,0.458417877,17.34506442,2.15E-67,1.18E-65,sig
PADI4,protein_coding,4758.685564,7.91116117,0.542329998,14.58735677,3.38E-48,8.36E-47,sig
OLIG2,protein_coding,183.2327833,7.892347942,0.773046372,10.20941075,1.8E-24,1.42E-23,sig
UBQLNL,protein_coding,2523.277228,7.881009401,0.858074242,9.184530909,4.13E-20,2.57E-19,sig
PRSS57,protein_coding,202.6484965,7.873461527,0.856340356,9.194313304,3.77E-20,2.35E-19,sig
WNT3,protein_coding,18.34003447,7.855392866,1.441153962,5.450765895,5.02E-08,0.000000139,sig
OR2W3,protein_coding,1681.610677,7.849106258,0.860116877,9.125627541,7.13E-20,4.37E-19,sig
ODF3,protein_coding,13.88046394,7.788792192,0.682978676,11.40415135,3.99E-30,4.27E-29,sig
KIR3DX1,protein_coding,72.71067351,7.786415989,0.965657614,8.06332998,7.42E-16,3.55E-15,sig
NIBAN3,protein_coding,4281.971674,7.755902913,0.633117097,12.25034508,1.67E-34,2.25E-33,sig
CD300LD,protein_coding,120.9576397,7.751780789,0.906649043,8.549924414,1.23E-17,6.58E-17,sig
NFE2,protein_coding,16731.37348,7.715890307,0.512838772,15.04545041,3.7E-51,1.05E-49,sig
PF4,protein_coding,2718.095177,7.700501288,0.883912487,8.711836747,2.99E-18,1.67E-17,sig
RAX2,protein_coding,10.90982166,7.697305296,0.723813668,10.63437406,2.06E-26,1.82E-25,sig
NCR1,protein_coding,453.3963258,7.691231508,0.458121601,16.78862442,2.96E-63,1.35E-61,sig
MYL4,protein_coding,2005.072754,7.681144465,0.567863952,13.52638151,1.09E-41,2.02E-40,sig
FCER2,protein_coding,1621.045456,7.644734225,0.676909291,11.29358738,1.41E-29,1.48E-28,sig
OLIG1,protein_coding,1484.299544,7.578078223,0.581658823,13.02839039,8.44E-39,1.36E-37,sig
GRIFIN,protein_coding,10.14034687,7.564649203,0.747650039,10.11790116,4.6E-24,3.55E-23,sig
H3Y2,protein_coding,14.2744202,7.559533508,0.73737746,10.25191834,1.16E-24,9.26E-24,sig
GATA1,protein_coding,1455.122164,7.54687975,0.638350456,11.822471,2.99E-32,3.59E-31,sig
UTF1,protein_coding,89.88241908,7.533494936,0.778682532,9.674667948,3.86E-22,2.68E-21,sig
RAB11FIP3,protein_coding,303079.8958,7.492149429,0.562128437,13.32818078,1.59E-40,2.8E-39,sig
SEBOX,protein_coding,14.01400396,7.46082882,0.848506048,8.792899993,1.46E-18,8.26E-18,sig
NRGN,protein_coding,32561.8987,7.453659568,0.304172731,24.50469356,1.32E-132,8.11E-130,sig
RHOXF2,protein_coding,9.150251874,7.420786241,0.723705551,10.25387497,1.14E-24,9.09E-24,sig
FOLR3,protein_coding,3668.13091,7.420069025,0.848094774,8.749103578,2.15E-18,1.21E-17,sig
KLF1,protein_coding,1002.111988,7.39934548,0.500224976,14.79203526,1.65E-49,4.33E-48,sig
IFIT1B,protein_coding,430.8203717,7.384507099,0.887383993,8.321659121,8.67E-17,4.39E-16,sig
DECR2,protein_coding,92332.21045,7.307055576,0.574321934,12.72292618,4.41E-37,6.65E-36,sig
FGFBP2,protein_coding,3176.647727,7.305106774,0.551891609,13.2364882,5.4E-40,9.24E-39,sig
TNFRSF10C,protein_coding,38963.29837,7.302804587,0.594915865,12.27535692,1.23E-34,1.67E-33,sig
WDR90,protein_coding,329890.1045,7.281483681,0.573823455,12.68941452,6.77E-37,1.01E-35,sig
CSF3R,protein_coding,218658.358,7.23550708,0.544803086,13.28095832,2.99E-40,5.19E-39,sig
TCL1A,protein_coding,1751.763305,7.232124208,0.636941062,11.35446375,7.05E-30,7.49E-29,sig
OSCAR,protein_coding,7360.142671,7.21570802,0.380214735,18.97798102,2.59E-80,2.5E-78,sig
SAP25,protein_coding,28084.32306,7.186109104,0.333783007,21.52928385,8.28E-103,1.79E-100,sig
TRIM64B,protein_coding,9.813673993,7.169227737,1.287080736,5.570146097,2.55E-08,7.23E-08,sig
C11orf21,protein_coding,11940.95634,7.156970107,0.369860708,19.3504472,2.02E-83,2.15E-81,sig
LUC7L,protein_coding,190659.2722,7.154201286,0.55343389,12.92693024,3.17E-38,4.99E-37,sig
CFP,protein_coding,15574.43978,7.148087531,0.41914237,17.05408007,3.26E-65,1.64E-63,sig
ANTKMT,protein_coding,53109.19576,7.135918333,0.51031462,13.98337037,1.97E-44,4.08E-43,sig
GFI1B,protein_coding,1104.378903,7.105018302,0.574699544,12.36301363,4.14E-35,5.77E-34,sig
CMTM5,protein_coding,592.5295349,7.064141002,0.641922148,11.00466937,3.63E-28,3.51E-27,sig
DPEP2,protein_coding,15739.02527,7.056789188,0.369263139,19.11046202,2.07E-81,2.06E-79,sig
GLT1D1,protein_coding,8416.050344,7.043864083,0.500474428,14.0743736,5.46E-45,1.17E-43,sig
CXCR1,protein_coding,36826.27412,7.03274902,0.614720854,11.44055708,2.62E-30,2.84E-29,sig
GYPB,protein_coding,66.07787284,7.012021632,1.183699948,5.923816795,3.15E-09,9.58E-09,sig
RPH3A,protein_coding,378.5336134,6.950201977,0.498681058,13.93716858,3.77E-44,7.69E-43,sig
LILRA2,protein_coding,12536.03783,6.946924834,0.494648698,14.04415873,8.37E-45,1.76E-43,sig
FCN1,protein_coding,45609.69327,6.927003187,0.494301896,14.01370952,1.29E-44,2.69E-43,sig
ARMH2,protein_coding,34.66410726,6.917018975,0.523120546,13.22261001,6.5E-40,1.11E-38,sig
MS4A3,protein_coding,150.9081301,6.905260423,0.928289848,7.438690014,1.02E-13,4.22E-13,sig
CEBPE,protein_coding,931.9547096,6.904600767,0.425447678,16.22902445,3.14E-59,1.22E-57,sig
PGAP6,protein_coding,261219.7392,6.892634411,0.456209989,15.10846887,1.42E-51,4.09E-50,sig
AATK,protein_coding,27468.57804,6.872017232,0.499224428,13.76538656,4.12E-43,8.04E-42,sig
AHSP,protein_coding,868.1583393,6.861918369,0.892931311,7.684710219,1.53E-14,6.73E-14,sig
FUT7,protein_coding,5036.42001,6.859895443,0.299135827,22.93237662,2.21E-116,7.26E-114,sig
AXIN1,protein_coding,229244.6706,6.852428534,0.483581742,14.17015561,1.4E-45,3.07E-44,sig
PABPN1L,protein_coding,42.62760319,6.82427208,0.567686994,12.02118799,2.75E-33,3.48E-32,sig
PEAK3,protein_coding,2678.007972,6.814008966,0.364100386,18.7146436,3.76E-78,3.15E-76,sig
KIR2DL3,protein_coding,73.39956537,6.795142523,0.968150567,7.018683619,2.24E-12,8.51E-12,sig
LYL1,protein_coding,20078.03264,6.779998003,0.395144376,17.15828041,5.45E-66,2.79E-64,sig
CHTF18,protein_coding,186135.366,6.751559728,0.549122329,12.29518336,9.61E-35,1.31E-33,sig
RPUSD1,protein_coding,130014.6405,6.747708966,0.534336422,12.62820329,1.48E-36,2.18E-35,sig
VSTM2B,protein_coding,28.73053972,6.745110689,1.015408477,6.642755936,3.08E-11,1.08E-10,sig
PIGQ,protein_coding,180881.2565,6.743000553,0.533367287,12.64232118,1.23E-36,1.82E-35,sig
MCRIP2,protein_coding,75072.18272,6.737204583,0.588235515,11.45324349,2.27E-30,2.46E-29,sig
ICAM3,protein_coding,93441.68455,6.726933718,0.317038766,21.21801634,6.51E-100,1.25E-97,sig
S1PR4,protein_coding,21022.1122,6.706536454,0.387864751,17.29091502,5.51E-67,2.99E-65,sig
DYTN,protein_coding,11.59384101,6.66247809,0.933968917,7.133511589,9.78E-13,3.8E-12,sig
LILRA1,protein_coding,6012.739489,6.655609122,0.502392122,13.24783735,4.64E-40,7.97E-39,sig
TBX21,protein_coding,6981.905873,6.631230595,0.392210973,16.90730511,3.97E-64,1.9E-62,sig
CHRNA2,protein_coding,46.57509731,6.627895256,0.657760738,10.07645314,7.02E-24,5.36E-23,sig
REM2,protein_coding,2559.966305,6.616513402,0.234619133,28.20108191,5.67E-175,1.4E-171,sig
DPEP3,protein_coding,632.6644176,6.611550358,0.614958691,10.75121053,5.85E-27,5.31E-26,sig
RASGRP2,protein_coding,26687.33258,6.596385911,0.406193038,16.23953463,2.65E-59,1.04E-57,sig
CXCR2,protein_coding,61765.65618,6.586100095,0.539320184,12.2118554,2.69E-34,3.59E-33,sig
ZNF467,protein_coding,16030.06016,6.569863417,0.384371662,17.092476,1.69E-65,8.52E-64,sig
